text,label_number,label_name
можна змінити дати онлайн у додатку без зв'язку з оператором?,4,Зміна дат туру
можна змінити дати у випадку форс-мажору?,4,Зміна дат туру
що? я не змінювала дату туру на червень!,4,Зміна дат туру
"жах, а що робити, змінити дату не можна?",4,Зміна дат туру
"ми посварились, змінить дату, будь ласка 📅",4,Зміна дат туру
у мене температура - це поважна причина для зміни дати! 🌡📅,4,Зміна дат туру
Чи можна змінити дати після початку туру?,4,Зміна дат туру
як змінити дату поїздки у додатку?,4,Зміна дат туру
я хочу подати запит на зміну дати на вересень,4,Зміна дат туру
Дату можна змінити самостійно чи потрібно звертатись?,4,Зміна дат туру
Скільки разів можна змінювати дату без штрафу за договором?,4,Зміна дат туру
"Коли останній день, щоб можно було змінити дату без штрафу?",4,Зміна дат туру
Хочу змінити дату туру через обставини на роботі,4,Зміна дат туру
Чи потрібно підтвердження від усіх учасників туру для зміни дат?,4,Зміна дат туру
терміново хочу перенести дату туру,4,Зміна дат туру
"смог, пробки й сміття на кожному кроці - привіт, Індія! 1/5",5,Відгуки про напрямки 
"Фото в інсті – це 5% реальності. 95% – це черги. Дякую, 🇫🇷!",5,Відгуки про напрямки 
Неочікувано гарне море і спокійна атмосфера — рекомендую Хорватію.,5,Відгуки про напрямки 
"Мальта — маленький острів з великою кількістю пам’яток, ідеально для короткого туру.",5,Відгуки про напрямки 
"Відпочинок у Фінляндії спокійний і затишний, чудова природа і сауни.",5,Відгуки про напрямки 
"Культура і гостинність, які я зустрів, вразили мене під час поїздки до Японії.",5,Відгуки про напрямки 
Любителі гірськолижного спорту і природи знайдуть справжній рай у Швейцарських Альпах.,5,Відгуки про напрямки 
"так багато ворів як у Барселоні не має ніде, треба берегти свої речі",5,Відгуки про напрямки 
якщо не можете обрати між морем та горами - Хорватія для вас,5,Відгуки про напрямки 
"Місто, яке ніколи не спить - це саме про Неаполь. Скажи - ні спокою.",5,Відгуки про напрямки 
Хочете адреналіну? Нова Зеландія: стрибки з банджі,5,Відгуки про напрямки 
Якщо Бразилія - то відразу треба на карнавал до цих колоритних людей,5,Відгуки про напрямки 
"Багато грошей треба для цієї Швейцарії, більше туди не повернуся",5,Відгуки про напрямки 
"Гори, озера, океани - то до Канади. 10/10 ",5,Відгуки про напрямки 
Ісландія - це інша планета! Неймовірні пейзажі.,5,Відгуки про напрямки 
"Львів – це не просто місто, це кава, шоколад і атмосфера",5,Відгуки про напрямки 
"Сейшельські острови – там, де на пляжі більше гігантських черепах, ніж туристів!",5,Відгуки про напрямки 
"Повернулась з Дубаю і... це не просто розкіш, це інша планета! ",5,Відгуки про напрямки 
"Балі – місце, де райські пляжі зустрічаються з джунглями! ",5,Відгуки про напрямки 
Тільки повернулась з Мальдівів – це космос! 💛,5,Відгуки про напрямки 
"Пляжі карибського басейну - моя слабкість, раджу всім",5,Відгуки про напрямки 
"Найкращий пляж - це ГРЕЙС-БЕЙ, кожен має відпочити там.",5,Відгуки про напрямки 
"Не забудьте відчути справжній Єгипет, під час екскурсії на квадроциклах та багі",5,Відгуки про напрямки 
"У Празі надзвичайно чарівні вулички, які зберегли середньовічну атмосферу, а також безліч історичних пам’яток",5,Відгуки про напрямки 
"У Греції неймовірно вражаюча архітектура — від стародавніх храмів до білих будиночків на схилах островів,",5,Відгуки про напрямки 
"а я чула відгук, що в Туреччині зовсім не спекотно",5,Відгуки про напрямки 
Кіпр — чудове місце для сімейного відпочинку.,5,Відгуки про напрямки 
Польща дуже колоритна і недорога.,5,Відгуки про напрямки 
Хінкалі у 🇬🇪 то любовв 💛 Всім раджу,5,Відгуки про напрямки 
Грузія дивує гостинністю і смачною кухнею.,5,Відгуки про напрямки 
